sentence	label	style
a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films	1	Stirring, funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
apparently reassembled from the cutting-room floor of any given daytime soap .	0	ApparentLY reassembled from any cutting-room spurt soap or snow-hole
they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .	0	they presum their audience won't sit still for a sociology lesson, however entertainingly presented, so trot out the conventional science fiction elements of bug-eyed animals and futuristic females in skimpy clothes....
this is a visually stunning rumination on love , memory , history and the war between art and commerce .	1	This is a visually stunning rumination on love, memory, history and war between art and commerce.
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .	1	Jonathan parker's bartleby shoulda been the be-all end-all of the modern-office anomie films...
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .	1	Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful...
a fan film that for the uninitiated plays better on video with the sound turned down .	0	A fan film that for the uninitiated plays better on video with the sound turned down.
béart and berling are both superb , while huppert ... is magnificent .	1	BÉrst du berling et du berling beau,
a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .	0	In less extreme ways than in the past, with longer exposition sequences between them, and with fewer gags to break the tedium.
the film is strictly routine .	0	It's strictly routine for a film
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	1	A lyrical metaphor for cultural and personal self discovery and a picaresque view of a little-remembered world...
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .	0	The most repugnant adaptation of a classic text since roland joffÉ and demi moore's the scarlet letter...
for something as splendid-looking as this particular film , the viewer expects something special but instead gets (sci-fi) rehash .	0	For something as superb as this particular movie has been criticized by the viewers expecting something special instead gets (sci-fi) rehash...
this is a stunning film , a one-of-a-kind tour de force .	1	This is a stunning film, a one-of-a-kind tour de force.
may be more genial than ingenious , but it gets the job done .	1	May be more genial than inventive, it gets the job done
there is a freedom to watching stunts that are this crude , this fast-paced and this insane .	1	There's freedom in watching stunts that are this crude, this fast paced and this insane
if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .	0	Would be chan like a 99 thrift-store special, if the tuxedos actually did fit
as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .	1	Shiver as silent, patient and tenacious as mr. lopez himself, who approach his difficult, endless work with extraordinary serenity and discipline.
final verdict : you 've seen it all before .	0	Final verdict : have you seen it all before...
blue crush follows the formula , but throws in too many conflicts to keep the story compelling .	0	Blues crush follows the formula but throws in too many conflicts to keep the story appealing.
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .	0	Your... sense of good intentions derailed by a failure to seek and strike just the right tone...
a slick , engrossing melodrama .	1	A slick, engrossing melodrama.
a wretched movie that reduces the second world war to one man 's quest to find an old flame .	0	Gettin' movies that reduce the second world war to just one man's quest to find an old flame...
will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .	0	Officially dedicated to a brand name, in european markets, where mr. besson is a brand name, and in asia, where ms. shu is an institution, but american audiences will probably find it familiar and insufficient
